Customer_ID,Category,Tags,Suggested_Action,Confidence
C001,Positive,"Delivery Time, Food Quality, Overall Experience","Highlight quality food, fast delivery, and friendly service.",High
C002,Negative,"Delivery Time, Packaging, Food Quality, Overall Experience","Investigate wrong order, late delivery, and customer service.",High
C003,Negative,"Delivery Time, Food Quality, Overall Experience","Improve delivery tracking and food temperature maintenance.",High
C004,Positive,"Delivery Time, Food Quality, Overall Experience","Promote hot, fresh food and seamless ordering process.",High
C005,Positive,"Delivery Time, Food Quality, Overall Experience","Emphasize fast delivery, courteous driver, and amazing food.",High
C006,Negative,"Delivery Time, Food Quality, Price, Overall Experience","Review specialty sandwich quality, portion, and price alignment.",High
C007,Positive,"Delivery Time, Food Quality, Overall Experience","Highlight great food, timely delivery, and generous portions.",High
C008,Positive,"Delivery Time, Food Quality, Overall Experience","Promote consistent top-notch quality and professional drivers.",High
C009,Positive,"Delivery Time, Overall Experience","Showcase lightning-fast delivery and hot food arrival.",High
C010,Negative,"Delivery Time, Food Quality, Overall Experience","Address long delivery, rude driver, and poor food quality.",High
C011,Neutral,"Delivery Time, Food Quality, Overall Experience","Emphasize consistent food quality and friendly drivers.",High
C012,Negative,"Delivery Time, Food Quality","Improve delivery speed and ensure timely arrival.",High
C013,Positive,"Delivery Time, Food Quality, Overall Experience","Highlight delicious food and prompt delivery service.",High
C014,Neutral,"Delivery Time, Food Quality","Seek feedback to elevate food and delivery experience.",High
C015,Positive,"Delivery Time, Food Quality, Overall Experience","Promote easy ordering, fast delivery, and incredible food.",High
C016,Positive,"Delivery Time, Packaging, Overall Experience","Highlight quick delivery and careful food packaging.",High
C017,Negative,"Delivery Time, Food Quality","Address cold, soggy food and extremely slow delivery.",High
C018,Positive,"Delivery Time, Food Quality, Overall Experience","Emphasize fresh, flavorful food and top-notch delivery service.",High
C019,Neutral,"Delivery Time, Food Quality","Identify areas to improve satisfactory food and average delivery.",High
C020,Positive,"Delivery Time, Food Quality","Highlight fast delivery and consistently excellent food.",High
C021,Neutral,"Delivery Time, Food Quality, Overall Experience","Survey customer to identify specific areas for improvement.",High
C022,Positive,"Food Quality, Overall Experience","Promote reliable service and delicious meals for customer retention.",High
